sku,order_qty,available_qty,required
8906043149398, 2, 1, 1
856759086, 2, 7, -5
8906043149398, 2, 1, 1
4796018660126, 1, 19, -18
856759086, 2, 7, -5
8906043149398, 2, 1, 1
4796018660126, 1, 19, -18
6952054900185, 1, 0, 1
856759086, 2, 7, -5
8906043149398, 2, 1, 1
4796018660126, 1, 19, -18
6952054900185, 1, 0, 1
8906043149077, 1, 1, 0
856759086, 2, 7, -5
8906043149398, 2, 1, 1
4796018660126, 1, 19, -18
6952054900185, 1, 0, 1
8906043149077, 1, 1, 0
5026234064095, 1, 24, -23
373576, 1, 14, -13
856759086, 2, 7, -5
8906043149398, 2, 1, 1
4796018660126, 1, 19, -18
6952054900185, 1, 0, 1
8906043149077, 1, 1, 0
5026234064095, 1, 24, -23
373576, 1, 14, -13
856759086, 2, 7, -5
8906043149398, 2, 1, 1
4796018660126, 1, 19, -18
6952054900185, 1, 0, 1
8906043149077, 1, 1, 0
5026234064095, 1, 24, -23
67612585124, 1, 31, -30
6952054901984, 1, 0, 1
373576, 1, 14, -13
856759086, 2, 7, -5
8906043149398, 2, 1, 1
4796018660126, 1, 19, -18
6952054900185, 1, 0, 1
8906043149077, 1, 1, 0
5026234064095, 1, 24, -23
67612585124, 1, 31, -30
6952054901984, 1, 0, 1
4793000387276, 6, 29, -23
255377, 1, 1, 0
255784, 4, 4, 0
373576, 1, 14, -13
856759086, 2, 7, -5
8906043149398, 2, 1, 1
4796018660126, 1, 19, -18
6952054900185, 1, 0, 1
8906043149077, 1, 1, 0
5026234064095, 1, 24, -23
67612585124, 1, 31, -30
6952054901984, 1, 0, 1
4793000387276, 6, 29, -23
9003579309537, 3, 95, -92
9312239044665, 1, 24, -23
